ETABLISSEMENT;PRIVE.PUBLIQUE;DEGRE;DENOMINATION;NOM_ECOLE;STATUT;ADRESSE;VILLE;ADRESS;LATITUDE;LONGITUDE;icon
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LOUISE D'AUZAY;DEMANDE;1 RUE DE LA GANNERIE 86110;THURAGEAU;1 RUE DE LA GANNERIE 86110, THURAGEAU;46,76760852;0,243808461;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE; ECOLE PRIMAIRE PUBLIQUE;GROUPE SCOLAIRE DES GENETS;REALISE;1 RUE DES GENETS 86300;VALDIVIENNE;ECOLE PRIMAIRE GROUPE SCOLAIRE DES GENETS, 1, SENTIER DES PLANETES, LA BRECHONNIERE, SALLES EN TOULON, VALDIVIENNE, MONTMORILLON, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86300, FRANCE;46,4983605;0,626545445;www/green.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;TONY LAINE;DEMANDE;1 RUE DU CLOS GAULTIER 86000;POITIERS;1 RUE DU CLOS GAULTIER 86000, POITIERS;46,566817;0,3409872;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE PUBLIQUE; ALPHONSE DAUDET;DEMANDE;10 RUE ALPHONSE DAUDET 86000;POITIERS;10 RUE ALPHONSE DAUDET 86000, POITIERS;46,59240563;0,364392607;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;ANNE FRANK BESSE;DEMANDE;10 RUE ANNE FRANCK 86540;THURE;RUE ANNE FRANK, BESSE, THURE, CHATELLERAULT, VIENNE, NOUVELLE-AQUITAINE, FRANCE METROPOLITAINE, 86540, FRANCE;46,81642538;0,495754546;www/yellow.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;LOUISE MICHEL;REALISE;12 RUE DE LA COUTURE 86320;LUSSAC-LES-CHATEAUX;12 RUE DE LA COUTURE 86320, LUSSAC-LES-CHATEAUX;46,40174845;0,719306352;www/green.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE; ECOLE PRIMAIRE PUBLIQUE;DU CHATAIGNIER;DEMANDE;13 PLACE DU CHATAIGNIER 86320;MAZEROLLES ;13 PLACE DU CHATAIGNIER 86320, MAZEROLLES ;46,4062783;0,685949833;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE PUBLIQUE;ANDRE ROSSIGNOL;REALISE;13 RUE DES CHAMPS DE FOIRE 86500;MONTMORILLON;13 RUE DES CHAMPS DE FOIRE 86500, MONTMORILLON;46,42722338;0,875391672;www/green.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;LA PROVIDENCE;DEMANDE;26 RUE RENE DESCARTES 86007;POITIERS;26 RUE RENE DESCARTES 86007, POITIERS;46,5847234;0,3417689;www/yellow.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;SAINT-GABRIEL NOTRE-DAME;DEMANDE;27 RUE DU VIEUX PALAIS 86108;CHATELLERAULT;27 RUE DU VIEUX PALAIS 86108, CHATELLERAULT;46,815508;0,542152;www/yellow.png
SECOND DEGRE PRIVE;PRIVE;COLLEGE;COLLEGE;LE SACRE-COEUR;DEMANDE;4 RUE DE L'ORMEAU 86130;JAUNAY-MARIGNY;4 RUE DE L'ORMEAU 86130, JAUNAY-MARIGNY;46,6845805;0,3696181;www/yellow.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;PIERRE DE RONSARD;DEMANDE;50 RUE DE LA JAMBE A L'ANE 86036;POITIERS;50 RUE DE LA JAMBE A L'ANE 86036, POITIERS;46,55834309;0,509237947;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;LE BREUIL MINGOT;DEMANDE;6 RUE DE LA GIREE 86000;POITIERS;6 RUE DE LA GIREE 86000, POITIERS;46,58904095;0,405442194;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;CHARLES PERRAULT;DEMANDE;9 AVENUE GEORGES POMPIDOU 86000;POITIERS;9 AVENUE GEORGES POMPIDOU 86000, POITIERS;46,5760992;0,352715396;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE PUBLIQUE;ANDERSEN;DEMANDE;9 RUE DE LA CLOUERE 86000;POITIERS;9 RUE DE LA CLOUERE 86000, POITIERS;46,5917127;0,3582578;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE; ECOLE PRIMAIRE PUBLIQUE;FRANCOIS RABELAIS - POLE EDUC;DEMANDE;9 RUE JULES EDOUARD MENARD 86230;ST GERVAIS LES TROIS CLOCHERS;9 RUE JULES EDOUARD MENARD 86230, ST GERVAIS LES TROIS CLOCHERS;46,8982715;0,4066576;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE MATERNELLE PUBLIQUE;PASTEUR;DEMANDE;9 RUE LOUIS PASTEUR 86000;POITIERS;9 RUE LOUIS PASTEUR 86000, POITIERS;46,57503923;0,350449616;www/yellow.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;RENE CASSIN;REALISE;AVENUE DE BEL AIR 86150;L'ISLE-JOURDAIN;AVENUE DE BEL AIR 86150, L'ISLE-JOURDAIN;46,22763853;0,688046342;www/green.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE;LA VILLEDIEU DU CLAIN;DEMANDE;CHEMIN BOIS VERT 86340;LA VILLEDIEU DU CLAIN;CHEMIN BOIS VERT 86340, LA VILLEDIEU DU CLAIN;46,453513;0,367703332;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;PERSAC;REALISE;PLACE DE LA MAIRIE 86320;PERSAC;PLACE DE LA MAIRIE 86320, PERSAC;46,34324432;0,706011179;www/green.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE;JACQUES PREVERT;DEMANDE;PLACE DE LA MAIRIE 86470; BOIVRE LA VALLEE;PLACE DE LA MAIRIE 86470,  BOIVRE LA VALLEE;46,5591821;0,046070993;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;VERNON ;DEMANDE;RUE DU CHATEAU 86340;VERNON ;RUE DU CHATEAU 86340, VERNON ;46,4418405;0,476705348;www/yellow.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE;LA CHAPELLE MOULIERE;EN COURS;86210;LA CHAPELLE MOULIERE;86210, LA CHAPELLE MOULIERE;46,6487298;0,5643212;www/orange.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;ANTOIGNE;EN COURS;1 CHEMIN DE LA GUILLOTIERE 86100;CHATELLERAULT;1 CHEMIN DE LA GUILLOTIERE 86100, CHATELLERAULT;46,83084875;0,572334093;www/orange.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE PUBLIQUE;JULES FERRY;EN COURS;1 RUE PIERRE ET MARIE CURIE 86100;CHATELLERAULT;1 RUE PIERRE ET MARIE CURIE 86100, CHATELLERAULT;46,81946121;0,5522281;www/orange.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;CHARRAIS;EN COURS;11 BIS PLACE DE LA MAIRIE 86380;ST MARTIN LA PALLU;11 BIS PLACE DE LA MAIRIE 86380, ST MARTIN LA PALLU;46,70421925;0,221321467;www/orange.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE ELEMENTAIRE PUBLIQUE;CHARLES CHOISIE;EN COURS;14 RUE DE L'ANCIEN PORCHE 86360;MONTAMISE;14 RUE DE L'ANCIEN PORCHE 86360, MONTAMISE;46,62145543;0,426651793;www/orange.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE; ECOLE ELEMENTAIRE PUBLIQUE;ALPHONSE DAUDET;EN COURS;14 RUE JULES FERRY 86220;DANGE ST ROMAIN;14 RUE JULES FERRY 86220, DANGE ST ROMAIN;46,93747976;0,604121443;www/orange.png
SECOND DEGRE PUBLIQUE;PUBLIQUE;COLLEGE;COLLEGE;JEAN JAURES;REALISE;19 RUE DES PLANTES 86160;GENCAY;19 RUE DES PLANTES 86160, GENCAY;46,36962975;0,412954287;www/green.png
PREMIER DEGRE PUBLIQUE;PUBLIQUE;ECOLE;ECOLE PRIMAIRE PUBLIQUE;CLAUDIE HAIGNERE;EN COURS;2 ALLEE DU CHATELET 86100;CHATELLERAULT;2 ALLEE DU CHATELET 86100, CHATELLERAULT;46,8206916;0,5433256;www/orange.png
